Y,X,H
39485413.075188,3849597,478.24089440036
39485446.957393,3849597,479.00627743462
39485480.839599,3849597,479.76936053358
39485514.721805,3849597,480.53008320198
39485548.60401,3849597,481.28838560776
39485582.486216,3849597,482.04420858048
39485616.368421,3849597,482.79749360893
39485650.250627,3849597,483.54818284127
39485684.132832,3849597,484.29621908606
39485718.015038,3849597,485.04154581286
39485751.897243,3849597,485.78410715512
39485785.779449,3849597,486.52384791401
39485819.661654,3849597,487.26071356174
39485853.54386,3849597,487.99465024705
39485887.426065,3849597,488.72560480168
39485921.308271,3849597,489.45352474613
39485955.190476,3849597,490.17835829776
39485989.072682,3849597,490.90005437883
39486022.954887,3849597,491.61856262604
39486056.837093,3849597,492.33383339927
39486090.719298,3849597,493.04581779243
39486124.601504,3849597,493.75446764481
39486158.483709,3849597,494.45973555171
39486192.365915,3849597,495.16157487696
39486226.24812,3849597,495.85993976597
39486260.130326,3849597,496.55478515786
39486294.012531,3849597,497.24606679935
39486327.894737,3849597,497.93374125908
39486361.776942,3849597,498.61776594086
39486395.659148,3849597,499.29809909859
39486429.541353,3849597,499.97469985142
39486463.423559,3849597,500.64752819771
39486497.305764,3849597,501.31654503074
39486531.18797,3849597,501.98171215348
39486565.070175,3849597,502.64299229442
39486598.952381,3849597,503.30034912184
39486632.834586,3849597,503.95374725939
39486666.716792,3849597,504.60315230157
39486700.598997,3849597,505.24853082772
39486734.481203,3849597,505.88985041712
39486768.363409,3849597,506.52707966384
39486802.245614,3849597,507.16018819002
39486836.12782,3849597,507.78914665999
39486870.010025,3849597,508.41392679412
39486903.892231,3849597,509.03450138082
39486937.774436,3849597,509.65084428952
39486971.656642,3849597,510.26293048228
39487005.538847,3849597,510.87073602555
39487039.421053,3849597,511.47423810003
39487073.303258,3849597,512.07341501099
39487107.185464,3849597,512.66824619797
39487141.067669,3849597,513.25871224244
39487174.949875,3849597,513.84479487586
39487208.83208,3849597,514.42647698703
39487242.714286,3849597,515.00374262724
39487276.596491,3849597,515.57657701584
39487310.478697,3849597,516.14496654482
39487344.360902,3849597,516.70889878133
39487378.243108,3849597,517.26836247039
39487412.125313,3849597,517.82334753657
39487446.007519,3849597,518.37384508363
39487479.889724,3849597,518.91984739431
39487513.77193,3849597,519.46134792843
39487547.654135,3849597,519.99834132061
39487581.536341,3849597,520.53082337587
39487615.418546,3849597,521.05879106515
39487649.300752,3849597,521.58224251987
39487683.182957,3849597,522.10117702436
39487717.065163,3849597,522.61559500838
39487750.947368,3849597,523.12549803853
39487784.829574,3849597,523.63088880773
39487818.711779,3849597,524.13177112465
39487852.593985,3849597,524.62814990224
39487886.47619,3849597,525.12003114425
39487920.358396,3849597,525.60742193189
39487954.240602,3849597,526.0903304095
39487988.122807,3849597,526.56876576845
39488022.005013,3849597,527.04273823126
39488055.887218,3849597,527.51225903419
39488089.769424,3849597,527.97734040984
39488123.651629,3849597,528.43799556778
39488157.533835,3849597,528.89423867554
39488191.41604,3849597,529.34608483888
39488225.298246,3849597,529.79355008052
39488259.180451,3849597,530.23665131917
39488293.062657,3849597,530.67540634804
39488326.944862,3849597,531.10983381191
39488360.827068,3849597,531.5399531847
39488394.709273,3849597,531.96578474648
39488428.591479,3849597,532.38734955937
39488462.473684,3849597,532.80466944396
39488496.35589,3849597,533.21776695494
39488530.238095,3849597,533.62666535694
39488564.120301,3849597,534.03138859935
39488598.002506,3849597,534.43196129172
39488631.884712,3849597,534.82840867902
39488665.766917,3849597,535.22075661607
39488699.649123,3849597,535.60903154268
39488733.531328,3849597,535.99326045876
39488767.413534,3849597,536.37347089872
39488801.295739,3849597,536.74969090667
39488835.177945,3849597,537.12194901177
39488869.06015,3849597,537.49027420288
39488902.942356,3849597,537.8546959042
39488936.824561,3849597,538.21524395108
39488970.706767,3849597,538.57194856529
39489004.588972,3849597,538.92484033142
39489038.471178,3849597,539.27395017304
39489072.353383,3849597,539.61930932964
